N,S,E
0.482,0.589,0.6784
0.763,0.629,0.8165
0.763,0.629,0.7724
0.313,0.348,1.1271
0.313,0.348,1.0993
0.526,0.351,0.9775
0.526,0.351,1.1075
0.367,0.161,1.105
0.642,0.196,0.9456
0.642,0.196,0.8615
0.957,0.178,0.9236
0.957,0.178,0.8075
0.484,0.253,0.7389
0.484,0.253,0.886
0.484,0.253,0.7593
0.551,0.295,0.9334
0.551,0.295,0.944
0.228,0.187,0.7348
0.228,0.187,0.8484
0.317,0.256,0.5403
0.317,0.256,0.586
0.327,0.231,0.6988
0.327,0.231,0.7094
0.605,0.1,1.0895
0.605,0.1,0.7487
0.383,0.13,0.7871
0.526,0.11,1.0151
0.526,0.11,0.819
0.453,0.24,1.3543
0.323,0.16,0.8835
0.49,0.25,0.8124
0.389,0.39,1.5439
0.206,0.155,0.7104
0.379,0.203,1.2131
0.405,0.685,0.8856
0.445,0.763,0.8793
0.46,0.799,1.0665
0.563,0.166,0.9897
0.637,0.189,1.2817
0.732,0.215,1.0013
0.752,0.209,1.1581
0.777,0.77,1.0485
